STT,Thời gian thực tế,Số lượng đạt,Số lượng lỗi,Thời gian bình quân (s),Năng suất ngày (sp),Năng suất đạt  (%),Bậc thợ,% lỗi,Hệ số,Thời gian chuẩn,Lỗi
433,42.0,2.0,1.0,173.68,10.0,0.00048364808843850764,3,0.005,1.0,35.0,1
436,43.199999999999996,9.0,0.0,173.68,10.0,0.0022385997236296635,3,0.0,1.0,36.0,0
437,42.0,9.0,0.0,173.68,10.0,0.002176416397973284,3,0.0,1.0,35.0,0
438,108.0,9.0,0.0,173.68,10.0,0.00559649930907416,3,0.0,1.0,90.0,0
439,42.0,9.0,0.0,173.68,10.0,0.002176416397973284,3,0.0,1.0,35.0,0
442,43.199999999999996,9.0,0.0,173.68,10.0,0.0022385997236296635,2,0.0,0.9,39.99999999999999,0
443,42.0,9.0,0.0,173.68,10.0,0.002176416397973284,2,0.0,0.9,38.888888888888886,0
444,108.0,9.0,1.0,173.68,10.0,0.00559649930907416,4,0.0011111111111111111,1.15,78.26086956521739,1
445,42.0,9.0,0.0,173.68,10.0,0.002176416397973284,2,0.0,0.9,38.888888888888886,0
448,43.199999999999996,12.0,0.0,173.68,10.0,0.0029847996315062173,3,0.0,1.0,36.0,0
449,42.0,12.0,0.0,173.68,10.0,0.0029018885306310457,3,0.0,1.0,35.0,0
450,108.0,12.0,2.0,173.68,10.0,0.007461999078765546,3,0.0016666666666666666,1.0,90.0,1
451,42.0,12.0,0.0,173.68,10.0,0.0029018885306310457,2,0.0,0.9,38.888888888888886,0
454,16.2,18.0,0.0,173.68,10.0,0.0016789497927222478,2,0.0,0.9,14.999999999999998,0
455,78.0,18.0,0.0,173.68,10.0,0.008083832335329342,3,0.0,1.0,65.0,0
458,16.2,29.0,0.0,173.68,10.0,0.00270497466605251,2,0.0,0.9,14.999999999999998,0
459,78.0,29.0,0.0,173.68,10.0,0.013023952095808382,3,0.0,1.0,65.0,0
462,16.2,5.0,0.0,173.68,10.0,0.0004663749424228466,2,0.0,0.9,14.999999999999998,0
463,78.0,5.0,0.0,173.68,10.0,0.002245508982035928,2,0.0,0.9,72.22222222222221,0
464,54.0,3.0,0.0,173.68,10.0,0.0009327498848456932,3,0.0,1.0,45.0,0
465,54.0,3.0,0.0,173.68,10.0,0.0009327498848456932,3,0.0,1.0,45.0,0
468,54.0,3.0,1.0,173.68,10.0,0.0009327498848456932,4,0.003333333333333333,1.15,39.130434782608695,1
471,21.599999999999998,11.0,0.0,173.68,10.0,0.0013680331644403498,3,0.0,1.0,18.0,0
477,64.8,8.0,0.0,173.68,10.0,0.002984799631506218,4,0.0,1.15,46.95652173913044,0
478,59.4,8.0,0.0,173.68,10.0,0.0027360663288807,4,0.0,1.15,43.04347826086957,0
479,37.8,8.0,0.0,173.68,10.0,0.0017411331183786272,3,0.0,1.0,31.5,0
482,64.8,12.0,0.0,173.68,10.0,0.004477199447259327,3,0.0,1.0,54.0,0
483,59.4,12.0,0.0,173.68,10.0,0.00410409949332105,3,0.0,1.0,49.5,0
484,37.8,12.0,0.0,173.68,10.0,0.002611699677567941,2,0.0,0.9,34.99999999999999,0
486,21.599999999999998,18.0,0.0,173.68,10.0,0.0022385997236296635,2,0.0,0.9,19.999999999999996,0
487,27.0,9.0,0.0,173.68,10.0,0.00139912482726854,2,0.0,0.9,25.0,0
488,64.8,9.0,1.0,173.68,10.0,0.0033578995854444955,2,0.0011111111111111111,0.9,59.99999999999999,1
489,59.4,9.0,0.0,173.68,10.0,0.0030780746199907875,3,0.0,1.0,49.5,0
491,64.8,17.0,0.0,173.68,10.0,0.006342699216950714,3,0.0,1.0,54.0,0
492,59.4,17.0,0.0,173.68,10.0,0.005814140948871488,3,0.0,1.0,49.5,0
493,37.8,17.0,0.0,173.68,10.0,0.003699907876554583,2,0.0,0.9,34.99999999999999,0
497,102.0,16.0,0.0,173.68,10.0,0.009396591432519577,3,0.0,1.0,85.0,0
498,16.2,2.0,0.0,173.68,10.0,0.00018654997696913864,2,0.0,0.9,14.999999999999998,0
499,10.799999999999999,5.0,0.0,173.68,10.0,0.0003109166282818977,2,0.0,0.9,9.999999999999998,0
501,102.0,5.0,0.0,173.68,10.0,0.002936434822662368,3,0.0,1.0,85.0,0
502,16.2,5.0,1.0,173.68,10.0,0.0004663749424228466,4,0.002,1.15,11.73913043478261,1
503,10.799999999999999,5.0,0.0,173.68,10.0,0.0003109166282818977,3,0.0,1.0,9.0,0
504,48.0,10.0,0.0,173.68,10.0,0.0027637033625057578,2,0.0,0.9,44.44444444444444,0
506,60.0,10.0,0.0,173.7,10.0,0.003454231433506045,3,0.0,1.0,50.0,0
507,16.2,10.0,0.0,173.7,10.0,0.0009326424870466321,3,0.0,1.0,13.5,0
508,78.0,10.0,0.0,173.7,10.0,0.004490500863557859,3,0.0,1.0,65.0,0
509,54.0,4.0,1.0,173.7,10.0,0.001243523316062176,2,0.0025,0.9,50.0,1
510,54.0,5.0,0.0,173.68,10.0,0.0015545831414094887,2,0.0,0.9,50.0,0
511,114.0,5.0,0.0,173.68,10.0,0.003281897742975587,2,0.0,0.9,105.55555555555554,0
513,60.0,11.0,0.0,173.68,10.0,0.003800092123445417,2,0.0,0.9,55.55555555555555,0
514,16.2,11.0,0.0,173.68,10.0,0.0010260248733302624,3,0.0,1.0,13.5,0
515,78.0,11.0,0.0,173.7,10.0,0.004939550949913645,4,0.0,1.15,56.52173913043479,0
516,54.0,3.0,0.0,173.7,10.0,0.0009326424870466321,3,0.0,1.0,45.0,0
517,54.0,3.0,0.0,173.7,10.0,0.0009326424870466321,3,0.0,1.0,45.0,0
518,114.0,9.0,0.0,173.7,10.0,0.005906735751295338,3,0.0,1.0,95.0,0
519,48.0,8.0,1.0,173.7,10.0,0.002210708117443869,4,0.00125,1.15,34.78260869565218,1
521,48.0,12.0,0.0,173.68,10.0,0.0033164440350069093,3,0.0,1.0,40.0,0
523,48.0,14.0,0.0,173.68,10.0,0.0038691847075080603,3,0.0,1.0,40.0,0
525,48.0,13.0,0.0,173.68,10.0,0.003592814371257485,2,0.0,0.9,44.44444444444444,0
527,48.0,8.0,0.0,173.7,10.0,0.002210708117443869,2,0.0,0.9,44.44444444444444,0
