STT,Thời gian thực tế,Số lượng đạt,Số lượng lỗi,Thời gian bình quân (s),Năng suất ngày (sp),Năng suất đạt  (%),Bậc thợ,% lỗi,Hệ số,Thời gian chuẩn,Lỗi
571,84.0,2.0,0.0,173.7,10.0,0.0009671848013816926,4,0.0,1.15,17.5,0
572,97.77,16.0,7.0,173.7,20.0,0.00450293609671848,4,0.004375,1.15,20.36875,1
573,36.0,7.0,1.0,173.7,10.0,0.0014507772020725387,3,0.0014285714285714286,1.0,10.000000000000002,1
574,138.0,7.0,0.0,173.7,10.0,0.0055613126079447316,2,0.0,0.9,57.5,0
575,127.77,35.0,8.0,173.7,40.0,0.006436312607944733,3,0.0022857142857142855,1.0,35.49166666666667,1
576,36.0,8.0,1.0,173.7,10.0,0.001658031088082902,2,0.00125,0.9,15.0,1
577,138.0,8.0,0.0,173.7,10.0,0.006355785837651123,2,0.0,0.9,57.5,0
578,84.0,2.0,0.0,173.7,10.0,0.0009671848013816926,2,0.0,0.9,35.0,0
579,54.0,15.0,0.0,173.7,10.0,0.00466321243523316,2,0.0,0.9,22.5,0
580,97.67,15.0,9.0,173.7,20.0,0.0042171848013816925,3,0.006,1.0,27.13055555555556,1
581,36.0,13.0,0.0,173.7,10.0,0.002694300518134715,4,0.0,1.15,7.5,0
582,138.0,13.0,0.0,173.7,10.0,0.010328151986183073,3,0.0,1.0,38.333333333333336,0
583,84.0,2.0,0.0,173.7,10.0,0.0009671848013816926,3,0.0,1.0,23.333333333333336,0
584,54.0,10.0,0.0,173.7,10.0,0.0031088082901554403,3,0.0,1.0,15.000000000000002,0
585,378.67,20.0,18.0,450.56,20.0,0.008404430042613636,4,0.009000000000000001,1.15,78.88958333333333,1
